date,minTemp,maxTemp
41821.00,86,109
41822.00,86,109
41823.00,79,108
41824.00,81,98
41825.00,84,103
41826.00,84,105
41827.00,88,108
41828.00,86,105
41829.00,83,101
41830.00,87,105
41831.00,88,107
41832.00,88,110
41833.00,80,110
41834.00,81,103
41835.00,86,103
41836.00,84,107
41837.00,86,105
41838.00,83,105
41839.00,88,104
41840.00,85,106
41841.00,85,107
41842.00,89,113
41843.00,94,114
41844.00,93,116
41845.00,87,109
41846.00,83,108
41847.00,83,104
41848.00,85,107
41849.00,92,110
41850.00,92,111
41851.00,87,109
41852.00,81,99
41853.00,78,102
41854.00,80,103
41855.00,79,105
41856.00,83,105
41857.00,84,108
41858.00,82,105
41859.00,85,105
41860.00,84,104
41861.00,84,104
41862.00,87,109
41863.00,77,98
41864.00,73,95
41865.00,83,102
41866.00,83,104
41867.00,87,106
41868.00,88,109
41869.00,83,98
41870.00,74,91
41871.00,75,98
41872.00,71,90
41873.00,72,93
41874.00,76,97
41875.00,79,103
41876.00,83,101
41877.00,80,100
41878.00,83,103
41879.00,83,106
41880.00,83,108
41881.00,83,111
41882.00,83,109
41883.00,81,108
41884.00,82,109
41885.00,84,108
41886.00,83,107
41887.00,80,101
41888.00,86,105
41889.00,84,104
41890.00,71,90
41891.00,79,92
41892.00,79,97
41893.00,79,100
41894.00,78,104
41895.00,83,100
41896.00,81,102
41897.00,87,105
41898.00,80,92
41899.00,78,89
41900.00,76,96
41901.00,82,98
41902.00,81,99
41903.00,80,99
41904.00,80,101
41905.00,77,102
41906.00,77,104
41907.00,81,103
41908.00,82,101
41909.00,69,95
41910.00,71,87
41911.00,67,89
41912.00,66,89
41913.00,67,91
41914.00,69,92
41915.00,67,99
41916.00,69,99
41917.00,69,96
41918.00,70,93
41919.00,72,90
41920.00,69,82
41921.00,70,84
41922.00,69,89
41923.00,70,92
41924.00,70,94
41925.00,65,90
41926.00,65,94
41927.00,69,90
41928.00,67,92
41929.00,71,89
41930.00,68,90
41931.00,69,94
41932.00,66,90
41933.00,69,91
41934.00,67,93
41935.00,67,94
41936.00,68,96
41937.00,70,96
41938.00,71,89
41939.00,71,88
41940.00,65,88
41941.00,64,91
41942.00,64,94
41943.00,67,95
41944.00,69,83
41945.00,60,73
41946.00,53,75
41947.00,53,81
41948.00,60,85
41949.00,60,86
41950.00,59,84
41951.00,58,90
41952.00,61,87
41953.00,59,84
41954.00,58,84
41955.00,60,80
41956.00,61,80
41957.00,61,73
41958.00,57,77
41959.00,53,71
41960.00,47,71
41961.00,47,74
41962.00,50,74
41963.00,48,74
41964.00,53,72
41965.00,46,72
41966.00,48,74
41967.00,42,71
41968.00,46,69
41969.00,44,74
41970.00,47,87
41971.00,52,84
41972.00,51,80
41973.00,53,80
41974.00,51,73
41975.00,54,70
41976.00,60,76
41977.00,60,68
41978.00,57,72
41979.00,57,71
41980.00,51,77
41981.00,55,76
41982.00,54,78
41983.00,54,77
41984.00,56,76
41985.00,57,78
41986.00,51,66
41987.00,46,63
41988.00,46,64
41989.00,49,65
41990.00,51,61
41991.00,50,62
41992.00,45,64
41993.00,45,66
41994.00,47,65
41995.00,47,66
41996.00,47,68
41997.00,43,66
41998.00,45,64
41999.00,38,57
42000.00,35,60
42001.00,36,60
42002.00,36,61
42003.00,37,63
42004.00,36,50
42005.00,35,46
42006.00,31,54
42007.00,34,54
42008.00,35,65
42009.00,40,74
42010.00,44,79
42011.00,47,81
42012.00,54,71
42013.00,51,75
42014.00,54,65
42015.00,54,72
42016.00,56,67
42017.00,51,63
42018.00,46,67
42019.00,47,72
42020.00,49,74
42021.00,47,73
42022.00,48,75
42023.00,50,75
42024.00,48,75
42025.00,53,74
42026.00,48,65
42027.00,43,64
42028.00,50,77
42029.00,48,78
42030.00,53,71
42031.00,53,74
42032.00,52,75
42033.00,58,71
42034.00,55,60
42035.00,53,60
42036.00,50,69
42037.00,48,73
42038.00,50,76
42039.00,52,77
42040.00,52,82
42041.00,54,84
42042.00,53,81
42043.00,55,82
42044.00,55,83
42045.00,57,83
42046.00,54,81
42047.00,58,78
42048.00,55,80
42049.00,54,83
42050.00,63,79
42051.00,55,79
42052.00,55,77
42053.00,50,79
42054.00,52,80
42055.00,55,79
42056.00,54,79
42057.00,56,72
42058.00,59,70
42059.00,51,67
42060.00,47,72
42061.00,51,77
42062.00,50,78
42063.00,60,70
42064.00,61,77
42065.00,52,66
42066.00,47,65
42067.00,47,70
42068.00,46,75
42069.00,51,83
42070.00,55,83
42071.00,55,83
42072.00,56,84
42073.00,58,87
42074.00,59,87
42075.00,68,86
42076.00,60,88
42077.00,63,88
42078.00,63,89
42079.00,65,90
42080.00,64,91
42081.00,62,81
42082.00,60,70
42083.00,61,81
42084.00,60,85
42085.00,60,89
42086.00,61,88
42087.00,59,86
42088.00,62,88
42089.00,64,89
42090.00,63,95
42091.00,64,95
42092.00,65,97
42093.00,70,96
42094.00,68,95
42095.00,67,91
42096.00,64,87
42097.00,60,86
42098.00,62,89
42099.00,61,89
42100.00,61,86
42101.00,58,84
42102.00,61,78
